a,b,theta in radians
1,1,0.7853981633974483
1,2,1.1071487177940904
1,3,1.2490457723982544
1,4,1.3258176636680326
1,5,1.373400766945016
1,6,1.4056476493802699
1,7,1.4288992721907328
1,8,1.446441332248135
1,9,1.460139105621001
1,10,1.4711276743037347
1,11,1.4801364395941514
1,12,1.4876550949064553
1,13,1.4940244355251187
1,14,1.4994888620096063
1,15,1.5042281630190728
1,16,1.5083775167989393
1,17,1.512040504079174
1,18,1.5152978215491797
1,19,1.5182132651839548
1,20,1.5208379310729538
1,21,1.5232132235179132
1,22,1.5253730473733196
1,23,1.5273454314033659
1,24,1.5291537476963082
1,25,1.5308176396716067
1,26,1.5323537367737086
1,27,1.5337762109209665
1,28,1.5350972141155725
1,29,1.5363272257953886
1,30,1.5374753309166493
1,31,1.5385494443596428
1,32,1.5395564933646284
1,33,1.5405025668761214
1,34,1.5413930385908916
1,35,1.5422326689561365
1,36,1.5430256902014756
1,37,1.5437758776076318
1,38,1.5444866095419745
1,39,1.545160918273219
1,40,1.5458015331759765
1,41,1.546410917622178
1,42,1.5469913006098266
1,43,1.5475447039844337
1,44,1.5480729659532555
1,45,1.5485777614681775
1,46,1.5490606199531038
1,47,1.5495229407708355
1,48,1.5499660067586796
1,49,1.5503909961083586
1,50,1.550798992821746
1,51,1.551190995937692
1,52,1.5515679276951895
1,53,1.5519306407732258
1,54,1.5522799247268875
1,55,1.5526165117219184
1,56,1.5529410816553442
1,57,1.5532542667374942
1,58,1.5535566556003668
1,59,1.5538487969884918
1,60,1.554131203080956
1,61,1.5544043524868913
1,62,1.5546686929512603
1,63,1.5549246438031066
1,64,1.5551725981744198
1,65,1.5554129250143014
1,66,1.555645970920127
1,67,1.5558720618048116
1,68,1.5560915044170451
1,69,1.5563045877293966
1,70,1.5565115842075
1,71,1.5567127509720364
1,72,1.5569083308639295
1,73,1.5570985534220307
1,74,1.5572836357815685
1,75,1.557463783500751
1,76,1.5576391913221408
1,77,1.5578100438747242
1,78,1.557976516321996
1,79,1.5581387749608446
1,80,1.5582969777755349
1,81,1.558451274950672
1,82,1.5586018093466447
1,83,1.5587487169407106
1,84,1.5588921272365868
1,85,1.5590321636451379
1,86,1.5591689438385128
1,87,1.559302580079866
1,88,1.5594331795306058
1,89,1.559560844536934
1,90,1.5596856728972892
1,91,1.559807758112163
1,92,1.5599271896176263
1,93,1.5600440530037953
1,94,1.5601584302193552
1,95,1.5602703997631713
1,96,1.560380036863927
1,97,1.5604874136486533
1,98,1.5605925993009424
1,99,1.5606956602095747
2,2,0.7853981633974483
2,3,0.982793723247329
2,4,1.1071487177940904
2,5,1.1902899496825317
2,6,1.2490457723982544
2,7,1.2924966677897853
2,8,1.3258176636680326
2,9,1.3521273809209546
2,10,1.373400766945016
2,11,1.3909428270024184
2,12,1.4056476493802699
2,13,1.4181469983996315
2,14,1.4288992721907328
2,15,1.4382447944982226
2,16,1.446441332248135
2,17,1.4536875822280324
2,18,1.460139105621001
2,19,1.4659193880646628
2,20,1.4711276743037347
2,21,1.4758446204521403
2,22,1.4801364395941514
2,23,1.4840579881189115
2,24,1.4876550949064553
2,25,1.4909663410826592
2,26,1.4940244355251187
2,27,1.4968572891369563
2,28,1.4994888620096063
2,29,1.501939837493852
2,30,1.5042281630190728
2,31,1.5063694873693432
2,32,1.5083775167989393
2,33,1.5102643070127895
2,34,1.512040504079174
2,35,1.513715544388632
2,36,1.5152978215491797
2,37,1.5167948264189284
2,38,1.5182132651839548
2,39,1.519559159391478
2,40,1.5208379310729538
2,41,1.522054475484965
2,42,1.5232132235179132
2,43,1.5243181954438936
2,44,1.5253730473733196
2,45,1.5263811115479857
2,46,1.5273454314033659
2,47,1.5282687921751124
2,48,1.5291537476963082
2,49,1.5300026439270311
2,50,1.5308176396716067
2,51,1.5316007248678418
2,52,1.5323537367737086
2,53,1.5330783743280325
2,54,1.5337762109209665
2,55,1.534448705775876
2,56,1.5350972141155725
2,57,1.5357229962616712
2,58,1.5363272257953886
2,59,1.536910996890779
2,60,1.5374753309166493
2,61,1.5380211823908208
2,62,1.5385494443596428
2,63,1.5390609532664388
2,64,1.5395564933646284
2,65,1.5400368007244274
2,66,1.5405025668761214
2,67,1.5409544421277872
2,68,1.5413930385908916
2,69,1.5418189329433354
2,70,1.5422326689561365
2,71,1.5426347598070043
2,72,1.5430256902014756
2,73,1.5434059183200342
2,74,1.5437758776076318
2,75,1.5441359784202986
2,76,1.5444866095419745
2,77,1.5448281395833403
2,78,1.545160918273219
2,79,1.5454852776520482
2,80,1.5458015331759765
2,81,1.5461099847392972
2,82,1.546410917622178
2,83,1.5467046033699754
2,84,1.5469913006098266
2,85,1.5472712558096797
2,86,1.5475447039844337
2,87,1.5478118693534446
2,88,1.5480729659532555
2,89,1.548328198209071
2,90,1.5485777614681775
2,91,1.548821842498234
2,92,1.5490606199531038
2,93,1.5492942648086654
2,94,1.5495229407708355
2,95,1.5497468046578502
2,96,1.5499660067586796
2,97,1.5501806911692928
2,98,1.5503909961083586
2,99,1.5505970542138288
3,3,0.7853981633974483
3,4,0.9272952180016122
3,5,1.0303768265243125
3,6,1.1071487177940904
3,7,1.1659045405098132
3,8,1.2120256565243244
3,9,1.2490457723982544
3,10,1.2793395323170296
3,11,1.3045442776439713
3,12,1.3258176636680326
3,13,1.3439974787410107
3,14,1.35970299357215
3,15,1.373400766945016
3,16,1.3854483767992019
3,17,1.396124127786657
3,18,1.4056476493802699
3,19,1.4141944498128813
3,20,1.4219063791853994
3,21,1.4288992721907328
3,22,1.4352686128093959
3,23,1.4410937896389846
3,24,1.446441332248135
3,25,1.4513674007765582
3,26,1.4559197213779975
3,27,1.460139105621001
3,28,1.464060654145761
3,29,1.4677147182721964
3,30,1.4711276743037347
3,31,1.4743225516123097
3,32,1.477319545636307
3,33,1.4801364395941514
3,34,1.4827889532671559
3,35,1.485291033116692
3,36,1.4876550949064553
3,37,1.489892227639666
3,38,1.492012365805753
3,39,1.4940244355251187
3,40,1.4959364790841299
3,41,1.4977557614917774
3,42,1.4994888620096063
3,43,1.5011417530663285
3,44,1.5027198685368972
3,45,1.5042281630190728
3,46,1.5056711634605107
3,47,1.5070530142622096
3,48,1.5083775167989393
3,49,1.5096481641455954
3,50,1.5108681716736887
3,51,1.512040504079174
3,52,1.5131678993174227
3,53,1.5142528898500793
3,54,1.5152978215491797
3,55,1.5163048705541655
3,56,1.5172760583355815
3,57,1.5182132651839548
3,58,1.5191182423124667
3,59,1.519992622736675
3,60,1.5208379310729538
3,61,1.5216555923788764
3,62,1.5224469401429936
3,63,1.5232132235179132
3,64,1.523955613878927
3,65,1.5246752107803854
3,66,1.5253730473733196
3,67,1.526050095340281
3,68,1.5267072693968249
3,69,1.5273454314033659
3,70,1.5279653941261693
3,71,1.5285679246818946
3,72,1.5291537476963082
3,73,1.5297235482044425
3,74,1.5302779743165498
3,75,1.5308176396716067
3,76,1.5313431256978571
3,77,1.5318549836978574
3,78,1.5323537367737086
3,79,1.5328398816065822
3,80,1.533313890103235
3,81,1.5337762109209665
3,82,1.5342272708813551
3,83,1.534667476282121
3,84,1.5350972141155725
3,85,1.5355168532013053
3,86,1.5359267452401069
3,87,1.5363272257953886
3,88,1.5367186152078889
3,89,1.5371012194488802
3,90,1.5374753309166493
3,91,1.5378412291805985
3,92,1.5381991816769438
3,93,1.5385494443596428
3,94,1.5388922623098742
3,95,1.5392278703071185
3,96,1.5395564933646284
3,97,1.539878347231854
3,98,1.5401936388661779
3,99,1.5405025668761214
4,4,0.7853981633974483
4,5,0.8960553845713439
4,6,0.982793723247329
4,7,1.0516502125483738
4,8,1.1071487177940904
4,9,1.1525719972156676
4,10,1.1902899496825317
4,11,1.2220253232109897
4,12,1.2490457723982544
4,13,1.2722973952087173
4,14,1.2924966677897853
4,15,1.3101939350475555
4,16,1.3258176636680326
4,17,1.3397056595989996
4,18,1.3521273809209546
4,19,1.3633001003596938
4,20,1.373400766945016
4,21,1.382574821490126
4,22,1.3909428270024184
4,23,1.3986055122719576
4,24,1.4056476493802699
4,25,1.4121410646084953
4,26,1.4181469983996315
4,27,1.423717971406494
4,28,1.4288992721907328
4,29,1.433730152484709
4,30,1.4382447944982226
4,31,1.442473099109102
4,32,1.446441332248135
4,33,1.4501726582147938
4,34,1.4536875822280324
4,35,1.4570043196511886
4,36,1.460139105621001
4,37,1.463106455962076
4,38,1.4659193880646628
4,39,1.468589608687643
4,40,1.4711276743037347
4,41,1.473543128543331
4,42,1.4758446204521403
4,43,1.478040006606753
4,44,1.4801364395941514
4,45,1.482140444927459
4,46,1.4840579881189115
4,47,1.4858945333451747
4,48,1.4876550949064553
4,49,1.4893442824890257
4,50,1.4909663410826592
4,51,1.4925251862736186
4,52,1.4940244355251187
4,53,1.4954674359665565
4,54,1.4968572891369563
4,55,1.498196873064402
4,56,1.4994888620096063
4,57,1.5007357441564413
4,58,1.501939837493852
4,59,1.503103304100928
4,60,1.5042281630190728
4,61,1.5053163018714317
4,62,1.5063694873693432
4,63,1.5073893748280647
4,64,1.5083775167989393
4,65,1.5093353709121307
4,66,1.5102643070127895
4,67,1.5111656136637273
4,68,1.512040504079174
4,69,1.5128901215467894
4,70,1.513715544388632
4,71,1.5145177905061347
4,72,1.5152978215491797
4,73,1.516056546745016
4,74,1.5167948264189284
4,75,1.5175134752352042
4,76,1.5182132651839548
4,77,1.5188949283367237
4,78,1.519559159391478
4,79,1.520206618025512
4,80,1.5208379310729538
4,81,1.5214536945419266
4,82,1.522054475484965
4,83,1.5226408137349812
4,84,1.5232132235179132
4,85,1.5237721949521503
4,86,1.5243181954438936
4,87,1.524851670986777
4,88,1.5253730473733196
4,89,1.5258827313251073
4,90,1.5263811115479857
4,91,1.5268685597180067
4,92,1.5273454314033659
4,93,1.5278120669271256
4,94,1.5282687921751124
4,95,1.528715919353006
4,96,1.5291537476963082
4,97,1.5295825641365763
4,98,1.5300026439270311
4,99,1.5304142512303966
5,5,0.7853981633974483
5,6,0.8760580505981934
5,7,0.9505468408120751
5,8,1.0121970114513341
5,9,1.0636978224025597
5,10,1.1071487177940904
5,11,1.1441688336680205
5,12,1.176005207095135
